,tracklet_id,date_mjd,RA,Dec,mag,ra_rad,dec_rad,detected
0,00704,52233.14342,0.9700833333333333,26.103361111111113,11.5 ,0.016931148185388326,0.4555895972259343,1
1,00704,52233.14481,0.9703333333333333,26.10313888888889,11.5 ,0.01693551150851831,0.4555857187164854,1
2,00704,52233.16393,0.9708333333333332,26.100472222222223,11.2 ,0.01694423815477828,0.4555391766030989,1
3,00704,52233.16534,0.971,26.10027777777778,11.6 ,0.01694714703686494,0.45553578290733115,1
4,00704,52233.18379,0.9714166666666666,26.097527777777778,11.3 ,0.016954419242081582,0.45548778635290127,1
5,00704,52233.18519,0.9717499999999999,26.09736111111111,11.5 ,0.016960237006254895,0.45548487747081456,1
6,01170,52233.137,355.6080416666666,25.20777777777778,13.4 ,6.206531173652516,0.43995871933328173,1
7,01170,52233.15752,355.6074166666666,25.210472222222222,13.3 ,6.206520265344691,0.44000574626034933,1
8,01170,52233.1775,355.60683333333327,25.21311111111111,13.2 ,6.2065100842573875,0.44005180356005474,1
9,01620,52233.13769,355.6548333333333,25.789250000000003,16.0 ,6.207347842298345,0.4501073241199477,1
10,01620,52233.15828,355.657875,25.785861111111114,16.9 ,6.207400929396427,0.4500481768508523,1
11,01620,52233.17819,355.6606666666666,25.782833333333333,17.4 ,6.207449653171378,0.4499953321596113,1
12,01916,52233.14413,1.1046249999999997,23.15394444444444,16.6 ,0.01927934324984236,0.40411256537940476,1
13,01916,52233.16464,1.109,23.153583333333334,16.2 ,0.019355701404617114,0.40410626280155043,1
14,01916,52233.18449,1.1131666666666666,23.15325,16.0 ,0.019428423456783545,0.4041004450373771,1
15,07341,52233.07943,342.4282083333333,16.476249999999997,15.3 ,5.976499687121751,0.28756481088171565,1
16,07341,52233.10039,342.42020833333333,16.472499999999997,15.8 ,5.976360060781592,0.28749936103476587,1
17,07341,52233.12237,342.41179166666666,16.46847222222222,15.8 ,5.976213162236215,0.287429063051005,1
18,22180,52233.14481,1.8942916666666663,28.76961111111111,17.2 ,0.033061626576424245,0.5021244384072331,1
19,22180,52233.16534,1.8939166666666662,28.767083333333332,17.0 ,0.03305508159172926,0.5020803203622521,1
20,22180,52233.18519,1.8935833333333332,28.76463888888889,16.7 ,0.03304926382755596,0.5020376567583145,1
21,27655,52233.19368,4.509208333333333,28.891527777777778,16.2 ,0.07870053207503262,0.5042522856536228,1
22,27655,52233.21873,4.512416666666666,28.886222222222223,15.9 ,0.07875652805520078,0.5041596862405309,1
23,27655,52233.25349,4.517083333333333,28.878888888888888,17.8 ,0.07883797675362719,0.504031695428718,1
24,27713,52233.14481,1.1307916666666666,26.63722222222222,17.7 ,0.019736037737447545,0.4649072313631784,1
25,27713,52233.16534,1.1319166666666667,26.631944444444446,17.1 ,0.019755672691532482,0.46481511676376763,1
26,27713,52233.18519,1.1329999999999998,26.626805555555556,16.9 ,0.01977458042509575,0.46472542623276236,1
27,27977,52233.14481,1.7956249999999998,23.463638888888887,17.3 ,0.03133956838112318,0.40951775311009503,1
28,27977,52233.16534,1.7968749999999998,23.462138888888887,17.5 ,0.03136138499677311,0.4094915731713151,1
29,27977,52233.18519,1.7980833333333333,23.460666666666665,17.1 ,0.03138247439190137,0.4094658780462163,1
30,28610,52233.14204,358.7515833333333,22.42591666666667,16.8 ,6.26139632590948,0.39140608361120505,1
31,28610,52233.16253,358.752125,22.424166666666668,16.5 ,6.261405779776262,0.3913755403492951,1
32,28610,52233.1824,358.75262499999997,22.422472222222222,16.3 ,6.261414506422522,0.3913459667147474,1
33,34744K01Q86S,52233.137,356.0665,20.51038888888889,17.7 ,6.21453278105239,0.35797381697557257,1
34,34744K01Q86S,52233.15752,356.06758333333335,20.50863888888889,17.3 ,6.214551688785953,0.35794327371366264,1
35,34744K01Q86S,52233.1775,356.06879166666664,20.506972222222224,17.6 ,6.214572778181081,0.3579141848927961,1
36,46306K01OA2W,52233.09052,352.63766666666663,19.27883333333333,18.9 ,6.15468834988359,0.3364791176099001,1
37,46306K01OA2W,52233.11168,352.6400833333333,19.276833333333332,18.4 ,6.154730528673846,0.3364442110248602,1
38,46306K01OA2W,52233.13358,352.6427083333333,19.274749999999997,18.4 ,6.154776343566711,0.336407849998777,1
39,48833J97Y05A,52233.08011,343.5492499999999,15.018500000000001,17.3 ,5.996065555257128,0.2621222737107684,1
40,48833J97Y05A,52233.10108,343.55195833333323,15.01661111111111,18.0 ,5.996112824591036,0.2620893063804529,1
41,48833J97Y05A,52233.12307,343.5548333333333,15.014611111111112,17.5 ,5.996163002807032,0.26205439979541306,1
42,49389J98X20S,52233.14481,1.8921666666666666,24.17788888888889,17.6 ,0.03302453832981937,0.4219837672924646,1
43,49389J98X20S,52233.16534,1.891958333333333,24.175472222222222,17.4 ,0.033020902227211046,0.42194158850220803,1
44,49389J98X20S,52233.18519,1.8918749999999995,24.172833333333333,17.2 ,0.033019447786167715,0.4218955312025026,1
45,54817K01N00B,52233.07531,338.6366666666666,14.311472222222223,16.6 ,5.910324801311863,0.24978231108548737,1
46,54817K01N00B,52233.09621,338.643625,14.309611111111112,16.7 ,5.9104462471389825,0.24974982856885303,1
47,54817K01N00B,52233.1182,338.6508333333333,14.307666666666668,16.9 ,5.91057205628923,0.24971589161117538,1
48,55182K01QS2B,52233.14273,0.5337083333333332,22.501833333333334,18.9 ,0.009314967661998068,0.3927310794016774,1
49,55182K01QS2B,52233.16323,0.534625,22.497833333333336,18.2 ,0.009330966513474684,0.39266126623159764,1
50,55182K01QS2B,52233.18309,0.5353333333333332,22.493916666666667,17.4 ,0.009343329262342975,0.39259290750256115,1
51,55449K01TB8B,52233.14342,0.23262499999999997,26.054583333333333,18.3 ,0.0040600721724518085,0.4547382644019059,1
52,55449K01TB8B,52233.16393,0.23195833333333332,26.052722222222222,18.0 ,0.00404843664410518,0.45470578188527155,1
53,55449K01TB8B,52233.18379,0.2314583333333333,26.05086111111111,17.8 ,0.004039709997845208,0.45467329936863726,1
54,57290K01QG9M,52233.0926,354.2523333333333,21.351972222222223,18.2 ,6.182869599539125,0.37266221707214814,1
55,57290K01QG9M,52233.11448,354.25333333333333,21.349527777777777,17.9 ,6.182887052831646,0.37261955346821046,1
56,57290K01QG9M,52233.13563,354.25449999999995,21.347194444444444,18.3 ,6.182907415006252,0.3725788291189973,1
57,58701J98B42R,52233.08145,344.62229166666657,20.261416666666666,19.7 ,6.014793665351548,0.3536284319517877,1
58,58701J98B42R,52233.10246,344.62362499999995,20.259916666666665,19.7 ,6.014816936408242,0.3536022520130078,1
59,58701J98B42R,52233.12446,344.6247499999999,20.25825,19.5 ,6.014836571362326,0.35357316319214127,1
60,63784K01R09K,52233.0926,354.51658333333324,19.975583333333333,18.2 ,6.187481632087519,0.3486396991731706,1
61,63784K01R09K,52233.11448,354.5201666666666,19.9695,17.8 ,6.187544173052383,0.3485335249770076,1
62,63784K01R09K,52233.13563,354.52354166666663,19.963527777777777,18.5 ,6.187603077914638,0.3484292900355691,1
63,66092J98S00D,52233.50235,107.89233333333333,49.94108333333333,18.9 ,1.8830764543258953,0.8716363361795314,1
64,66092J98S00D,52233.51295,107.89116666666666,49.94177777777777,18.6 ,1.8830560921512887,0.8716484565215591,1
65,66092J98S00D,52233.52369,107.88987499999999,49.942361111111104,17.4 ,1.883033548315117,0.8716586376088624,1
66,83604K01SR0G,52233.19149,2.6331249999999993,26.513,17.8 ,0.045956700866575675,0.46273914458125665,1
67,83604K01SR0G,52233.21396,2.6328749999999994,26.510694444444443,17.9 ,0.045952337543445694,0.4626989050457245,1
68,83604K01SR0G,52233.24592,2.6322499999999995,26.507361111111113,18.0 ,0.04594142923562073,0.46264072740399137,1
69,83909K01UI9B,52233.1392,357.2380833333333,21.809055555555556,18.7 ,6.234980767680546,0.3806398261948056,1
70,83909K01UI9B,52233.1597,357.23841666666664,21.806805555555556,18.8 ,6.2349865854447195,0.3806005562866357,1
71,83909K01UI9B,52233.17956,357.23875,21.80488888888889,19.2 ,6.234992403208893,0.3805671041426391,1
72,99324K01U02J,52233.13996,357.73729166666664,23.917166666666667,19.3 ,6.243693596750606,0.4174333060815705,1
73,99324K01U02J,52233.16036,357.73645833333325,23.916722222222223,18.8 ,6.2436790523401715,0.4174255490626727,1
74,99324K01U02J,52233.18025,357.73579166666656,23.91638888888889,19.2 ,6.2436674168118245,0.4174197312984994,1
75,A8882K01OA6F,52233.08293,346.7796666666666,15.843833333333334,18.8 ,6.052446962301762,0.2765270578038949,1
76,A8882K01OA6F,52233.10391,346.78149999999994,15.842916666666667,19.1 ,6.052478960004715,0.2765110589524183,1
77,A8882K01OA6F,52233.12585,346.7836666666666,15.841888888888889,19.3 ,6.052516775471841,0.27649312084621724,1
78,A9072K01Q23N,52233.14413,1.613125,27.735277777777778,16.0 ,0.02815434249623353,0.4840719161774384,1
79,A9072K01Q23N,52233.16464,1.6115,27.735972222222223,15.7 ,0.02812598089588862,0.48408403651946613,1
80,A9072K01Q23N,52233.18449,1.6099583333333334,27.736666666666668,15.7 ,0.028099073736587044,0.4840961568614939,1
81,A9865K01RE4Y,52233.08078,344.22304166666663,21.249222222222222,18.9 ,6.007825438312962,0.370868891265724,1
82,A9865K01RE4Y,52233.10177,344.22499999999997,21.247861111111114,18.9 ,6.007859617677481,0.37084513539534963,1
83,A9865K01RE4Y,52233.12378,344.22708333333327,21.24638888888889,19.5 ,6.007895978703563,0.3708194402702508,1
84,B9116K01O81B,52233.14135,359.3862916666666,22.066916666666668,18.6 ,6.272474076115992,0.3851403515965454,1
85,B9116K01O81B,52233.16184,359.38762499999996,22.0655,18.9 ,6.272497347172686,0.3851156260988088,1
86,B9116K01O81B,52233.18167,359.3895833333333,22.06425,19.2 ,6.272531526537204,0.38509380948315886,1
87,C1008J99A10K,52233.08984,351.67291666666665,21.49661111111111,18.3 ,6.137850285924975,0.3751866419096855,1
88,C1008J99A10K,52233.11097,351.67224999999996,21.49886111111111,18.1 ,6.137838650396628,0.37522591181785536,1
89,C1008J99A10K,52233.13289,351.6714583333333,21.50125,18.2 ,6.137824833206716,0.37526760579443075,1
90,D1427K01O98W,52233.14413,1.3579999999999997,22.556055555555556,18.6 ,0.02370157124208299,0.3936774357072032,1
91,D1427K01O98W,52233.16464,1.3582083333333332,22.55452777777778,17.8 ,0.023705207344691316,0.39365077095474216,1
92,D1427K01O98W,52233.18449,1.3585416666666663,22.553083333333333,17.3 ,0.023711025108864626,0.3936255606433245,1
93,D1441K01Q82S,52233.07873,342.2882083333333,19.16775,17.9 ,5.974056226168958,0.33454034769914315,1
94,D1441K01Q82S,52233.09968,342.2899166666666,19.167583333333333,18.3 ,5.974086042210346,0.33453743881705644,1
95,D1441K01Q82S,52233.1217,342.29162499999995,19.167250000000003,17.9 ,5.974115858251735,0.3345316210528832,1
96,Y4342K01W15Z,52233.36532,76.10508333333333,45.93238888888889,19.3 ,1.3282842816713276,0.8016714194175709,1
97,Y4342K01W15Z,52233.38773,76.09645833333332,45.92744444444444,17.7 ,1.328133747023343,0.8015851225823334,1
98,Y4342K01W15Z,52233.40866,76.08837499999998,45.922805555555556,18.0 ,1.3279926662421402,0.8015041586975882,1
99,l4277K01U01D,52233.07462,338.65666666666664,17.77208333333333,19.5 ,5.910673867162263,0.31018136910547556,1
