filea,fileb,filec,date_corrected,time_corrected,run_time_s,num_sources,num_tracklets_prescreen
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,12:14:09,0:00:00.417366,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,12:41:01,0:00:00.416083,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,12:43:06,0:00:00.413907,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,15:01:57,0:00:00.413547,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,15:15:30,0:00:00.414572,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,15:30:30,0:00:00.416271,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,15:39:53,0:00:45.102197,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,15:45:34,0:00:44.825247,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,16:18:45,0:00:45.667021,2727,147
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,17:30:36,0:00:06.194834,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,19:30:44,0:00:06.132672,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,19:32:48,0:00:06.305151,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,19:59:51,0:00:06.267388,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:07:48,0:00:06.156299,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:10:30,0:00:06.191519,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:11:42,0:00:06.244880,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:12:36,0:00:06.194006,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:25:41,0:00:06.225337,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:27:31,0:00:06.189871,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:28:18,0:00:06.171037,2727,21
o_sources20011120031013c.csv,o_sources20011120023836c.csv,o_sources20011120020811c.csv,2023-09-19,20:33:46,0:00:06.828645,2727,21
